population_size,iteration_number,run_number,pcrossover,pmutation,control_optimization_horizon,control_implementation_horizon,control_optimization_anticipation,control_type,optimization_aim,flexibility_event_length_max,flexibility_recover_timespan,thermal_stabilization_timespan,minimum_flexibility,flexibility_splits,Alpha_confort,month_subset
70,75,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
75,75,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
80,75,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
85,75,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
90,75,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
95,75,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
100,75,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
5,80,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
10,80,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
15,80,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
20,80,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
25,80,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
30,80,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
35,80,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
40,80,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
45,80,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
50,80,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
55,80,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
60,80,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
65,80,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
70,80,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
75,80,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
80,80,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
85,80,2,0,0.05,36,24,0,1,2,4,2,4,1,10,10,0
