"population_size","iteration_number","run_number","optimization_horizon","optimization_frequency","elec_heating","cost_heating","building_comfort","reward","process_time"
30,40,2,18,6,17919.1976968545,844.892768148889,22167,-5440.89276814889,3545.96714138985
30,40,2,24,12,18231.4719191099,845.413902387792,25291,-4257.41390238779,3816.27647042274
30,40,2,24,18,18975.7434898833,882.246980685317,25300,-4452.24698068532,3695.82087373734
30,40,2,24,24,19295.9515909823,892.157540786484,25869,-4383.15754078648,4289.46162033081
30,40,2,24,6,17808.888188627,838.421633281121,22181,-5439.42163328112,3623.93336057663
30,40,2,6,6,17796.0210828954,839.052040859527,22237,-5474.05204085953,3442.36493682861
30,40,5,12,12,15843.5655146569,731.206320516298,25335,-3889.2063205163,13077.8559236526
30,40,5,12,6,16496.8448538664,781.233958473489,22158,-5472.23395847349,9759.0930325985
30,40,5,18,12,15848.3217579234,733.181859974177,25351,-3887.18185997418,13912.6660871506
30,40,5,18,18,16619.293733341,775.863275733642,25597,-4127.86327573364,13715.8237299919
30,40,5,18,6,16571.0809431056,783.489116704335,22140,-5491.48911670434,9944.23868775368
30,40,5,24,12,15934.9566972233,735.278047440114,25428,-3868.27804744011,12299.993696928
30,40,5,24,18,16658.3228284639,776.169970357761,25707,-4140.16997035776,15922.8811135292
30,40,5,24,24,16823.1920982429,778.032850586881,26112,-3915.03285058688,17759.7958250046
30,40,5,24,6,16532.0383510517,782.95383757599,22255,-5443.95383757599,10861.1689126492
30,40,5,6,6,16593.7272235396,786.736907051697,22253,-5451.7369070517,9574.88810920715
30,50,1,12,12,20320.1941467391,940.956359240439,24930,-4665.95635924044,1368.80115556717
30,50,1,12,6,19497.494266983,917.268807535266,21924,-5792.26880753527,1555.72786688805
30,50,1,18,12,20248.8882707233,941.503182240698,25058,-4653.5031822407,1472.73151612282
30,50,1,18,18,20682.6783300564,958.065569940108,24711,-5227.06556994011,1355.20047235489
30,50,1,18,6,19456.1084416943,917.289166222864,22194,-5628.28916622286,1565.83420157433
30,50,1,24,12,20317.9016607894,942.985445364922,24882,-4707.98544536492,1446.88558888435
30,50,1,24,18,20679.5171960983,962.822180545749,24840,-5152.82218054575,1428.92917466164
30,50,1,24,24,20941.4938799933,965.089631743532,25029,-5267.08963174353,1412.37444877625
30,50,1,24,6,19462.9040729869,916.079620660982,22067,-5672.07962066098,1517.29768037796
30,50,1,6,6,19449.8420348749,916.011938498366,22181,-5645.01193849837,1583.07206249237
30,50,10,12,12,15236.5764529475,699.724787550508,25170,-3854.72478755051,30120.3016316891
30,50,10,12,6,16102.5033979965,764.221070032642,22081,-5432.22107003264,21256.7625739574
30,50,10,18,12,15171.3323190909,698.884782810768,25092,-3817.88478281077,30937.0500786304
30,50,10,18,18,16073.2826323381,750.497497468035,25494,-4153.49749746804,32369.8069911003
30,50,10,18,6,16048.6619587957,760.27181024546,22037,-5435.27181024546,20119.4809556007
30,50,10,24,12,15188.4719255312,697.341866799992,25410,-3885.34186679999,31432.3370583057
30,50,10,24,18,16024.4461871846,747.136328184651,25395,-4115.13632818465,33343.7081050873
30,50,10,24,24,16203.8935677906,748.714319498411,26182,-3817.71431949841,34490.6607968807
30,50,10,24,6,16086.8340090486,762.14129644964,22183,-5395.14129644964,21886.766356945
30,50,10,6,6,16057.5030188714,761.657551561286,22034,-5440.65755156129,21349.4969575405
30,50,2,12,12,18249.3699797374,845.267871238619,25338,-4153.26787123862,4050.72172760963
30,50,2,12,6,17901.2813935896,843.093321845467,22211,-5533.09332184547,3547.61062240601
30,50,2,18,12,18120.0503375247,836.176175776651,25359,-4168.17617577665,4112.60967588425
30,50,2,18,18,18837.8741662945,875.959372696815,25375,-4480.95937269682,4127.48415088654
