"population_size","iteration_number","run_number","optimization_horizon","optimization_frequency","elec_heating","cost_heating","building_comfort","reward","process_time"
30,36,6,24,12,15718.0988506759,725.589032002146,25321,-3887.58903200215,16959.1887001991
30,36,6,24,18,16421.0830342159,767.248047333447,25526,-4134.24804733345,18655.0353410244
30,36,6,24,24,16532.0415031657,764.474026564058,26216,-3860.47402656406,20128.9950137138
30,36,8,12,12,15421.382701584,710.793054671834,25303,-3814.79305467183,21905.544926405
30,36,8,18,12,15385.2123140148,709.451436034566,25073,-3893.45143603457,22529.7366657257
30,36,8,18,18,16204.7596964078,756.73247673491,25611,-4129.73247673491,24533.0418345928
30,36,8,24,12,15320.8216474897,706.852009830204,25155,-3903.8520098302,22304.6938736439
30,36,8,24,18,16274.1743629647,757.49831316337,25401,-4114.49831316337,26209.3121321201
30,36,8,24,24,16235.6086519089,750.103770556418,26047,-3860.10377055642,27726.2863321304
30,38,10,12,12,15187.9323331554,700.975936760876,25272,-3823.97593676088,41174.960072279
30,38,10,18,12,15211.4404680881,700.24210689956,25111,-3878.24210689956,40216.1596434116
30,38,10,18,18,16116.0843341619,751.559296691584,25419,-4150.55929669158,42562.1827902794
30,38,10,24,12,15306.6159542125,704.311159768652,25024,-3873.31115976865,26301.6356172562
30,38,10,24,18,16160.4686938084,752.706225936764,25602,-4049.70622593676,27392.1374053955
30,38,10,24,24,16151.9909669963,749.1178915637,26091,-3856.1178915637,28056.0823726654
30,38,4,12,12,16136.7582876544,743.163291199367,25454,-3905.16329119937,10268.345749855
30,38,4,18,12,16225.9519496216,751.768661543826,25259,-3898.76866154383,10158.5846605301
30,38,4,18,18,17017.8421416093,792.153559490807,25491,-4186.15355949081,11025.3832979202
30,38,4,24,12,16213.5293907688,749.808247770182,25402,-3891.80824777018,10149.7542972565
