"","HourUTC","Ti","Te","Qh","set_point_low","set_point_high","air_temperature","SpotPriceEUR","GHI","act_vent","building_occupied","mean_temp_24h","elec_heating","cost_heating","building_comfort","reward","act_heat"
"2139",2019-01-15 20:20:00,21.4180747659426,20.5085453942714,0,11,13,5.91266666666667,0.051650002,0,0,0,3.414875,0,0,0,0,0
"2140",2019-01-15 20:30:00,21.2287509794799,20.3921166062337,0,11,13,5.909,0.051650002,0,0,0,3.414875,0,0,0,0,0
"2141",2019-01-15 20:40:00,21.0532147712882,20.2729006419636,0,11,13,5.90533333333333,0.051650002,0,0,0,3.414875,0,0,0,0,0
"2142",2019-01-15 20:50:00,20.8883684042476,20.1518570561192,0,11,13,5.90166666666667,0.051650002,0,0,0,3.414875,0,0,0,0,0
"2143",2019-01-15 21:00:00,20.7318720649211,20.029707338316,0,11,13,5.898,0.050400002,0,0,0,3.58679166666667,0,0,0,0,0
"2144",2019-01-15 21:10:00,20.5819641463307,19.9070487790327,0,11,13,5.89916666666667,0.050400002,0,0,0,3.58679166666667,0,0,0,0,0
"2145",2019-01-15 21:20:00,20.4373173089589,19.7842844101382,0,11,13,5.90033333333333,0.050400002,0,0,0,3.58679166666667,0,0,0,0,0
"2146",2019-01-15 21:30:00,20.2969274639969,19.6617158035869,0,11,13,5.9015,0.050400002,0,0,0,3.58679166666667,0,0,0,0,0
"2147",2019-01-15 21:40:00,20.1600344364726,19.5395680033122,0,11,13,5.90266666666667,0.050400002,0,0,0,3.58679166666667,0,0,0,0,0
"2148",2019-01-15 21:50:00,20.0260621059813,19.4180083359417,0,11,13,5.90383333333333,0.050400002,0,0,0,3.58679166666667,0,0,0,0,0
"2149",2019-01-15 22:00:00,19.8945732431188,19.2971606031331,0,11,13,5.905,0.04866,0,0,0,3.76783333333333,0,0,0,0,0
"2150",2019-01-15 22:10:00,19.7652131503184,19.1769209460799,0,11,13,5.88916666666667,0.04866,0,0,0,3.76783333333333,0,0,0,0,0
"2151",2019-01-15 22:20:00,19.637696485318,19.0573675013936,0,11,13,5.87333333333333,0.04866,0,0,0,3.76783333333333,0,0,0,0,0
"2152",2019-01-15 22:30:00,19.511805815901,18.9385571679573,0,11,13,5.8575,0.04866,0,0,0,3.76783333333333,0,0,0,0,0
"2153",2019-01-15 22:40:00,19.3873749668204,18.8205308395144,0,11,13,5.84166666666667,0.04866,0,0,0,3.76783333333333,0,0,0,0,0
"2154",2019-01-15 22:50:00,19.2642764550071,18.7033173524481,0,11,13,5.82583333333333,0.04866,0,0,0,3.76783333333333,0,0,0,0,0
"2155",2019-01-15 23:00:00,19.1424120093578,18.5869364641844,0,11,13,5.81,0.04948,0,0,0,3.94575,0,0,0,0,0
"2156",2019-01-15 23:10:00,19.0217049808886,18.4713972797527,0,11,13,5.79383333333333,0.04948,0,0,0,3.94575,0,0,0,0,0
"2157",2019-01-15 23:20:00,18.9020951914997,18.3567078210408,0,11,13,5.77766666666667,0.04948,0,0,0,3.94575,0,0,0,0,0
"2158",2019-01-15 23:30:00,18.7835352138392,18.242872201167,0,11,13,5.7615,0.04948,0,0,0,3.94575,0,0,0,0,0
"2159",2019-01-15 23:40:00,18.6659872591751,18.1298916016343,0,11,13,5.74533333333333,0.04948,0,0,0,3.94575,0,0,0,0,0
"2160",2019-01-15 23:50:00,18.5494208291549,18.0177650094258,0,11,13,5.72916666666667,0.04948,0,0,0,3.94575,0,0,0,0,0
"2161",2019-01-16 00:00:00,18.4338109439119,17.9064897729822,0,11,13,5.713,0.049009998,0,0,0,4.11283333333333,0,0,0,0,0
"2162",2019-01-16 00:10:00,18.3190776011088,17.7955443496205,0,12.8141067206904,14.8141067206904,5.65166666666667,0.049009998,0,0,0,4.11283333333333,0,0,0,0,0
"2163",2019-01-16 00:20:00,18.2051180669909,17.6849555570601,0,12.8141067206904,14.8141067206904,5.59033333333333,0.049009998,0,0,0,4.11283333333333,0,0,0,0,0
"2164",2019-01-16 00:30:00,18.0918538137172,17.5747426552758,0,12.8141067206904,14.8141067206904,5.529,0.049009998,0,0,0,4.11283333333333,0,0,0,0,0
"2165",2019-01-16 00:40:00,17.9792245857994,17.4649192107797,0,12.8141067206904,14.8141067206904,5.46766666666667,0.049009998,0,0,0,4.11283333333333,0,0,0,0,0
"2166",2019-01-16 00:50:00,17.8671839231936,17.3554945031286,0,12.8141067206904,14.8141067206904,5.40633333333333,0.049009998,0,0,0,4.11283333333333,0,0,0,0,0
"2167",2019-01-16 01:00:00,17.755695783426,17.2464745860441,0,12.8141067206904,14.8141067206904,5.345,0.04891,0,0,0,4.256875,0,0,0,0,0
"2168",2019-01-16 01:10:00,17.6447195404465,17.1377542049198,0,13.226301559143,15.226301559143,5.27416666666667,0.04891,0,0,0,4.256875,0,0,0,0,0
"2169",2019-01-16 01:20:00,17.5342150656625,17.0293418114839,0,13.226301559143,15.226301559143,5.20333333333333,0.04891,0,0,0,4.256875,0,0,0,0,0
"2170",2019-01-16 01:30:00,17.4241513095253,16.9212430417876,0,13.226301559143,15.226301559143,5.1325,0.04891,0,0,0,4.256875,0,0,0,0,0
"2171",2019-01-16 01:40:00,17.3145040795363,16.8134614141675,0,13.226301559143,15.226301559143,5.06166666666667,0.04891,0,0,0,4.256875,0,0,0,0,0
"2172",2019-01-16 01:50:00,17.2052543637069,16.7059988557923,0,13.226301559143,15.226301559143,4.99083333333333,0.04891,0,0,0,4.256875,0,0,0,0,0
