"population_size","iteration_number","run_number","optimization_horizon","optimization_frequency","elec_heating","cost_heating","building_comfort","reward","process_time"
20,20,5,24,24,712.619061466626,28.782521881981,2449,-207.782521881981,17002.2746546268
20,20,5,24,24,112.43952247593,4.11406680705702,1940,-988.114066807057,15238.8919866085
20,20,5,24,24,750.613339807681,31.7714767210411,2701,-54.7714767210411,16752.8933913708
20,20,5,24,6,3878.60267924906,225.807888061499,2332,-301.807888061499,80466.0703291893
20,20,8,12,12,3873.45249757308,225.425228738631,2393,-287.425228738631,44342.7671878338
20,20,8,12,6,3943.60835619447,230.017827968362,2325,-305.017827968362,85940.8689558506
20,20,8,15,12,3901.76177141426,226.706439968195,2402,-260.706439968195,44026.0661151409
20,20,8,15,6,3862.97583687122,223.36273413823,2341,-310.36273413823,86213.3959832191
20,20,8,18,12,3848.41839951964,223.467636287991,2314,-310.467636287991,44009.8295693398
20,20,8,18,18,3891.30472546088,226.16095867804,2375,-278.16095867804,32156.1514480114
20,20,8,18,6,3903.22840578975,226.681283466532,2376,-297.681283466532,88152.051002264
20,20,8,24,12,3868.33315511229,225.718956191164,2369,-294.718956191164,46798.0183308125
20,20,8,24,18,3877.89134816421,225.687346505643,2324,-316.687346505643,29880.2785582542
20,20,8,24,24,3876.20930088926,225.829646518959,2367,-294.829646518959,22765.3052423
20,20,8,24,6,3872.02189965266,224.667424038058,2384,-277.667424038058,86705.6728317738
20,5,10,24,24,3935.17783312561,228.65646209756,2250,-351.65646209756,6062.45692658424
20,5,10,24,24,2309.76220742529,91.086138555236,2347,-131.086138555236,5516.92506718636
20,5,10,24,24,764.412431136928,30.5268296697125,2486,-216.526829669712,5855.76782989502
20,5,10,24,24,117.970015407595,4.27853016413356,1967,-1004.27853016413,5582.2734606266
20,5,10,24,24,821.534605069176,34.7745970670126,2722,-58.7745970670126,5099.91026997566
23,10,1,12,12,4145.14596169044,239.538442751741,1924,-631.538442751741,3297.16755127907
23,10,1,12,6,4135.94368254808,240.571533110721,1902,-583.571533110721,6548.59543251991
23,10,1,15,12,4117.07457191752,239.756635420608,1936,-592.756635420608,3279.67203903198
