"","time","external_temperature","solar_radiation","electricity_cost","building_occupied","mean_temp_24h","Ti","Te","act_vent","set_point_heating_low","set_point_heating_high","set_point_cooling_low","set_point_cooling_high","act_heat","act_cool","Qh","Qc","elec_heating","elec_cooling","elec_total","elec_cost","building_comfort","reward","external_temperature_forecast","solar_radiation_forecast","Ti_forecast","Te_forecast","Qh_forecast","Qc_forecast","elec_total_forecast","MarketUTC"
"1234",2019-01-05 06:45:00,4.90475,2.74575,0.048220001,0,5.16254166666667,16.6356579387621,15.8351234506926,0,13.5349065971899,14.5349065971899,33.322955233629,34.322955233629,0,0,0,0,0,0,0,0,0,0,4.90475,2.74575,16.6356579387621,15.8351234506926,0,0,0,2019-01-05 06:45:00
"1235",2019-01-05 06:50:00,4.89916666666667,3.05083333333333,0.048220001,0,5.16254166666667,16.5546177458138,15.7951503222277,0,13.5349065971899,14.5349065971899,33.322955233629,34.322955233629,0,0,0,0,0,0,0,0,0,0,4.89916666666667,3.05083333333333,16.5546177458138,15.7951503222277,0,0,0,2019-01-05 06:45:00
"1236",2019-01-05 06:55:00,4.89358333333333,3.35591666666667,0.048220001,0,5.16254166666667,16.477544560247,15.7542547425408,0,13.5349065971899,14.5349065971899,33.322955233629,34.322955233629,0,0,0,0,0,0,0,0,0,0,4.89358333333333,3.35591666666667,16.477544560247,15.7542547425408,0,0,0,2019-01-05 06:45:00
"1237",2019-01-05 07:00:00,4.888,3.661,0.049990002,0,5.18316666666667,16.4039815403216,15.7125788177252,0,14.5416057708733,15.5416057708733,31.1673432985454,32.1673432985454,0,0,0,0,0,0,0,0,0,0,4.888,3.661,16.4039815403216,15.7125788177252,0,0,0,2019-01-05 07:00:00
"1238",2019-01-05 07:05:00,4.86833333333333,7.05591666666667,0.049990002,0,5.18316666666667,16.3345549387868,15.6704665141764,0,14.5416057708733,15.5416057708733,31.1673432985454,32.1673432985454,0,0,0,0,0,0,0,0,0,0,4.86833333333333,7.05591666666667,16.3345549387868,15.6704665141764,0,0,0,2019-01-05 07:00:00
"1239",2019-01-05 07:10:00,4.84866666666667,10.4508333333333,0.049990002,0,5.18316666666667,16.2688372214406,15.6280482914443,0,14.5416057708733,15.5416057708733,31.1673432985454,32.1673432985454,0,0,0,0,0,0,0,0,0,0,4.84866666666667,10.4508333333333,16.2688372214406,15.6280482914443,0,0,0,2019-01-05 07:00:00
"1240",2019-01-05 07:15:00,4.829,13.84575,0.049990002,0,5.18316666666667,16.206452973169,15.5854382473344,0,15.6970413080073,16.6970413080073,32.9065761646859,33.9065761646859,0,0,0,0,0,0,0,0,0,0,4.829,13.84575,16.206452973169,15.5854382473344,0,0,0,2019-01-05 07:15:00
"1241",2019-01-05 07:20:00,4.80933333333333,17.2406666666667,0.049990002,0,5.18316666666667,16.1470725017624,15.5427361279443,0,15.6970413080073,16.6970413080073,32.9065761646859,33.9065761646859,0,0,0,0,0,0,0,0,0,0,4.80933333333333,17.2406666666667,16.1470725017624,15.5427361279443,0,0,0,2019-01-05 07:15:00
"1242",2019-01-05 07:25:00,4.78966666666667,20.6355833333333,0.049990002,0,5.18316666666667,16.090406226882,15.5000290909531,0,15.6970413080073,16.6970413080073,32.9065761646859,33.9065761646859,0,0,0,0,0,0,0,0,0,0,4.78966666666667,20.6355833333333,16.090406226882,15.5000290909531,0,0,0,2019-01-05 07:15:00
"1243",2019-01-05 07:30:00,4.77,24.0305,0.049990002,0,5.18316666666667,16.0361997577936,15.4573932524535,0,11.029994474144,12.029994474144,31.8128866702919,32.8128866702919,0,0,0,0,0,0,0,0,0,0,4.77,24.0305,16.0361997577936,15.4573932524535,0,0,0,2019-01-05 07:30:00
"1244",2019-01-05 07:35:00,4.75033333333333,27.4254166666667,0.049990002,0,5.18316666666667,15.9842295753229,15.4148950438971,0,11.029994474144,12.029994474144,31.8128866702919,32.8128866702919,0,0,0,0,0,0,0,0,0,0,4.75033333333333,27.4254166666667,15.9842295753229,15.4148950438971,0,0,0,2019-01-05 07:30:00
"1245",2019-01-05 07:40:00,4.73066666666667,30.8203333333333,0.049990002,0,5.18316666666667,15.9342992438589,15.3725924024623,0,11.029994474144,12.029994474144,31.8128866702919,32.8128866702919,0,0,0,0,0,0,0,0,0,0,4.73066666666667,30.8203333333333,15.9342992438589,15.3725924024623,0,0,0,2019-01-05 07:30:00
